time,SOG,velocity_east,velocity_north
1731173440.7250514,0.0,0.0,0.0
1731173441.6883187,0.0,0.0,0.0
1731173442.6945465,0.0,0.0,0.0
1731173443.6998043,0.0,0.0,0.0
1731173444.706464,0.0,0.0,0.0
1731173445.7198868,0.0,0.0,0.0
1731173446.731575,0.0,0.0,0.0
1731173447.6952631,0.0,0.0,0.0
1731173448.707658,0.0,0.0,0.0
1731173449.7220461,0.0,0.0,0.0
1731173450.7322836,0.0,0.0,0.0
1731173451.6868277,0.0,0.0,0.0
1731173452.691477,0.0,0.0,0.0
1731173453.6963031,0.0,0.0,0.0
1731173454.701785,0.0,0.0,0.0
1731173455.709471,0.0,0.0,0.0
1731173456.715753,0.0,0.0,0.0
1731173457.721757,0.0,0.0,0.0
1731173458.7300997,0.0,0.0,0.0
1731173459.6898248,0.0,0.0,0.0
1731173460.701468,0.0,0.0,0.0
1731173461.713834,0.0,0.0,0.0
1731173462.7246215,0.0,0.0,0.0
1731173463.7319572,0.0,0.0,0.0
1731173464.6877139,0.0,0.0,0.0
1731173465.6932206,0.0,0.0,0.0
1731173466.7002394,0.0,0.0,0.0
1731173467.7054753,0.0,0.0,0.0
1731173468.711823,0.0,0.0,0.0
1731173469.7200904,0.0,0.0,0.0
1731173470.730596,0.0,0.0,0.0
1731173471.6913161,0.0,0.0,0.0
1731173472.705482,0.0,0.0,0.0
1731173473.7189238,0.0,0.0,0.0
1731173474.7293606,0.0,0.0,0.0
1731173475.687577,0.0,0.0,0.0
1731173476.6963024,0.0,0.0,0.0
1731173477.7061357,0.0,0.0,0.0
1731173478.7131505,0.0,0.0,0.0
1731173479.7232435,0.0,0.0,0.0
1731173480.7341433,0.0,0.0,0.0
1731173481.6920557,0.0,0.0,0.0
1731173482.7040522,0.0,0.0,0.0
1731173483.7126725,0.0,0.0,0.0
1731173484.7237315,0.0,0.0,0.0
1731173485.7336755,0.0,0.0,0.0
1731173486.6963844,0.0,0.0,0.0
1731173487.7068157,0.0,0.0,0.0
1731173488.7128525,0.0,0.0,0.0
1731173489.7256596,0.0,0.0,0.0
1731173490.6849127,0.0,0.0,0.0
1731173491.6945345,0.0,0.0,0.0
1731173492.705637,0.0,0.0,0.0
1731173493.7118201,0.0,0.0,0.0
1731173494.722358,0.0,0.0,0.0
1731173495.7319057,0.0,0.0,0.0
1731173496.690447,0.0,0.0,0.0
1731173497.6990619,0.0,0.0,0.0
1731173498.710413,0.0,0.0,0.0
1731173499.7195532,0.0,0.0,0.0
1731173500.7309415,0.0,0.0,0.0
1731173501.688841,0.0,0.0,0.0
1731173502.7016487,0.0,0.0,0.0
1731173503.7087064,0.0,0.0,0.0
1731173504.7174077,0.0,0.0,0.0
1731173505.7241907,0.0,0.0,0.0
1731173506.7326663,0.0,0.0,0.0
1731173507.6907063,0.0,0.0,0.0
1731173508.7001638,0.0,0.0,0.0
1731173509.7129924,0.0,0.0,0.0
1731173510.7258632,0.0,0.0,0.0
1731173511.6879466,0.0,0.0,0.0
1731173512.7007647,0.0,0.0,0.0
1731173513.7108707,0.0,0.0,0.0
1731173514.716886,0.0,0.0,0.0
1731173515.7267015,0.0,0.0,0.0
1731173516.6907165,0.0,0.0,0.0
1731173517.703186,0.0,0.0,0.0
1731173518.7134776,0.0,0.0,0.0
1731173519.725169,0.0,0.0,0.0
1731173520.686028,0.0,0.0,0.0
1731173521.6990492,0.0,0.0,0.0
1731173522.7110739,0.0,0.0,0.0
1731173523.7200518,0.0,0.0,0.0
1731173524.729796,0.0,0.0,0.0
1731173525.6878264,0.0,0.0,0.0
1731173526.695576,0.0,0.0,0.0
1731173527.7055979,0.0,0.0,0.0
1731173528.7137642,0.0,0.0,0.0
1731173529.7215302,0.0,0.0,0.0
1731173530.7281513,0.0,0.0,0.0
1731173531.688143,0.0,0.0,0.0
1731173532.7006385,0.0,0.0,0.0
1731173533.711723,0.0,0.0,0.0
1731173534.721259,0.0,0.0,0.0
1731173535.7310605,0.0,0.0,0.0
1731173536.6911294,0.0,0.0,0.0
1731173537.701144,0.0,0.0,0.0
1731173538.7110684,0.0,0.0,0.0
1731173539.718163,0.0,0.0,0.0
1731173540.7254539,0.0,0.0,0.0
1731173541.7317884,0.0,0.0,0.0
1731173542.6892931,0.0,0.0,0.0
1731173543.6947665,0.0,0.0,0.0
1731173544.7004714,0.0,0.0,0.0
1731173545.7066648,0.0,0.0,0.0
1731173546.7116709,0.0,0.0,0.0
1731173547.7172673,0.0,0.0,0.0
1731173548.7236302,0.0,0.0,0.0
1731173549.7295399,0.0,0.0,0.0
1731173550.68698,0.0,0.0,0.0
1731173551.693297,0.0,0.0,0.0
1731173552.6997933,0.0,0.0,0.0
1731173553.707549,0.0,0.0,0.0
