time,rpm,duty_cycle,v_in,c_in,c_motor,temp_motor,time_ms,amp_hours,amp_hours_charged,motor_wattage,v_out
1741632626.7939115,0.0,0.0,45.0,0.0,-1.18,-81.5,14613706.0,0.0,0.0,-0.0,0.0
1741632626.9441862,0.0,0.0,45.2,0.0,-1.28,-82.5,14482684.0,0.0,0.0,-0.0,0.0
1741632626.9939935,0.0,0.0,45.2,0.0,-1.21,-81.1,14482684.0,0.0,0.0,-0.0,0.0
1741632627.0447304,0.0,0.0,45.1,0.0,-1.16,-80.1,14482617.0,0.0,0.0,-0.0,0.0
1741632627.09431,0.0,0.0,45.0,0.0,-1.19,-80.0,14482617.0,0.0,0.0,-0.0,0.0
1741632627.1446059,0.0,0.0,45.2,0.0,-1.23,-80.1,14548170.0,0.0,0.0,-0.0,0.0
1741632627.1942608,0.0,0.0,45.2,0.0,-1.33,-80.9,14613706.0,0.0,0.0,-0.0,0.0
1741632627.294459,0.0,0.0,45.2,0.0,-1.37,-81.9,14417081.0,0.0,0.0,-0.0,0.0
1741632627.3441348,0.0,0.0,44.9,0.0,-1.34,-81.6,14417098.0,0.0,0.0,-0.0,0.0
1741632627.3943198,0.0,0.0,45.1,0.0,-1.31,-81.7,14613706.0,0.0,0.0,-0.0,0.0
1741632627.444445,0.0,0.0,45.1,0.0,-1.35,-81.7,14482617.0,0.0,0.0,-0.0,0.0
1741632627.4942505,0.0,0.0,45.1,0.0,-1.28,-80.6,14417098.0,0.0,0.0,-0.0,0.0
1741632627.5438924,0.0,0.0,45.2,0.0,-1.21,-80.1,14417081.0,0.0,0.0,-0.0,0.0
1741632627.5938933,0.0,0.0,45.1,0.0,-1.19,-79.6,14482617.0,0.0,0.0,-0.0,0.0
1741632627.6443312,0.0,0.0,45.2,0.0,-1.3,-80.5,14482598.0,0.0,0.0,-0.0,0.0
1741632627.6948285,0.0,0.0,45.1,0.0,-1.24,-80.0,14482648.0,0.0,0.0,-0.0,0.0
1741632627.7447777,0.0,0.0,45.1,0.0,-1.19,-79.7,14548170.0,0.0,0.0,-0.0,0.0
1741632627.7941334,0.0,0.0,45.2,0.0,-1.16,-79.2,14548170.0,0.0,0.0,-0.0,0.0
1741632627.845352,0.0,0.0,45.0,0.0,-1.27,-79.4,14417098.0,0.0,0.0,-0.0,0.0
1741632627.8949225,0.0,0.0,45.1,0.0,-1.22,-79.1,14482634.0,0.0,0.0,-0.0,0.0
1741632627.9444442,0.0,0.0,44.9,0.0,-1.19,-80.9,14480725.0,0.0,0.0,-0.0,0.0
1741632627.9941158,0.0,0.0,45.1,0.0,-1.25,-81.5,14480725.0,0.0,0.0,-0.0,0.0
1741632628.0441458,0.0,0.0,45.2,0.0,-1.16,-81.8,14417098.0,0.0,0.0,-0.0,0.0
1741632628.0955696,0.0,0.0,45.1,0.0,-1.2,-81.8,14351503.0,0.0,0.0,-0.0,0.0
1741632628.1443436,0.0,0.0,45.0,0.0,-1.19,-80.9,14548134.0,0.0,0.0,-0.0,0.0
1741632628.194176,0.0,0.0,45.1,0.0,-1.3,-80.1,14482634.0,0.0,0.0,-0.0,0.0
1741632628.2949634,0.0,0.0,45.2,0.0,-1.19,-80.0,14417098.0,0.0,0.0,-0.0,0.0
1741632628.3451676,0.0,0.0,45.1,0.0,-1.14,-79.7,14482634.0,0.0,0.0,-0.0,0.0
1741632628.394351,0.0,0.0,45.0,0.0,-1.24,-79.5,14548170.0,0.0,0.0,-0.0,0.0
1741632628.4447885,0.0,0.0,45.0,0.0,-1.22,-79.4,14417039.0,0.0,0.0,-0.0,0.0
1741632628.4945192,0.0,0.0,45.0,0.0,-1.28,-80.5,14548111.0,0.0,0.0,-0.0,0.0
1741632628.5453951,0.0,0.0,45.0,0.0,-1.24,-81.2,14417081.0,0.0,0.0,-0.0,0.0
1741632628.5941775,0.0,0.0,45.1,0.0,-1.17,-81.5,14482617.0,0.0,0.0,-0.0,0.0
1741632628.6442432,0.0,0.0,45.2,0.0,-1.25,-81.8,14417098.0,0.0,0.0,-0.0,0.0
1741632628.7446475,0.0,0.0,45.2,0.0,-1.26,-82.0,14417098.0,0.0,0.0,-0.0,0.0
1741632628.7939603,0.0,0.0,45.0,0.0,-1.33,-81.8,14482598.0,0.0,0.0,-0.0,0.0
1741632628.8471632,0.0,0.0,45.0,0.0,-1.3,-81.6,14548170.0,0.0,0.0,-0.0,0.0
1741632628.8938837,0.0,0.0,45.1,0.0,-1.17,-81.7,14548044.0,0.0,0.0,-0.0,0.0
1741632628.945506,0.0,0.0,45.2,0.0,-1.28,-81.5,14613706.0,0.0,0.0,-0.0,0.0
1741632628.9938803,0.0,0.0,45.0,0.0,-1.27,-81.7,14482617.0,0.0,0.0,-0.0,0.0
1741632629.0439358,0.0,0.0,45.1,0.0,-1.36,-81.4,14679225.0,0.0,0.0,-0.0,0.0
1741632629.3446233,0.0,0.0,45.1,0.0,-1.26,-79.8,14482617.0,0.0,0.0,-0.0,0.0
1741632629.3943489,0.0,0.0,45.1,0.0,-1.29,-79.8,14482617.0,0.0,0.0,-0.0,0.0
1741632629.4443069,0.0,0.0,45.2,0.0,-1.21,-79.9,14482617.0,0.0,0.0,-0.0,0.0
1741632629.5448866,0.0,0.0,45.1,0.0,-1.24,-79.2,14482617.0,0.0,0.0,-0.0,0.0
1741632629.6444929,0.0,0.0,45.1,0.0,-1.23,-79.0,14548197.0,0.0,0.0,-0.0,0.0
1741632629.695044,0.0,0.0,44.9,0.0,-1.25,-79.4,14482598.0,0.0,0.0,-0.0,0.0
1741632629.7940588,0.0,0.0,45.2,0.0,-1.27,-79.7,14482547.0,0.0,0.0,-0.0,0.0
1741632629.8440914,0.0,0.0,45.2,0.0,-1.19,-79.5,14482617.0,0.0,0.0,-0.0,0.0
1741632629.994452,0.0,0.0,45.1,0.0,-1.24,-80.1,14548197.0,0.0,0.0,-0.0,0.0
1741632630.044714,0.0,0.0,45.1,0.0,-1.23,-81.5,14548153.0,0.0,0.0,-0.0,0.0
1741632630.0964968,0.0,0.0,45.2,0.0,-1.35,-82.3,14546261.0,0.0,0.0,-0.0,0.0
1741632630.144255,0.0,0.0,45.2,0.0,-1.31,-82.3,14415189.0,0.0,0.0,-0.0,0.0
1741632630.194724,0.0,0.0,45.1,0.0,-1.25,-81.8,14613689.0,0.0,0.0,-0.0,0.0
1741632630.2442808,0.0,0.0,45.0,0.0,-1.27,-81.5,14548153.0,0.0,0.0,-0.0,0.0
1741632630.2957861,0.0,0.0,45.0,0.0,-1.3,-81.6,14482684.0,0.0,0.0,-0.0,0.0
1741632630.3449397,0.0,0.0,45.1,0.0,-1.25,-81.7,14482617.0,0.0,0.0,-0.0,0.0
1741632630.394369,0.0,0.0,45.1,0.0,-1.31,-80.8,14613689.0,0.0,0.0,-0.0,0.0
1741632630.444861,0.0,0.0,45.1,0.0,-1.27,-81.0,14482634.0,0.0,0.0,-0.0,0.0
1741632630.5443943,0.0,0.0,45.2,0.0,-1.26,-81.6,14548170.0,0.0,0.0,-0.0,0.0
1741632630.5954092,0.0,0.0,45.1,0.0,-1.24,-81.7,14482575.0,0.0,0.0,-0.0,0.0
1741632630.644129,0.0,0.0,45.2,0.0,-1.32,-81.9,14548153.0,0.0,0.0,-0.0,0.0
1741632630.6946673,0.0,0.0,45.1,0.0,-1.21,-82.2,14482634.0,0.0,0.0,-0.0,0.0
1741632630.7441483,0.0,0.0,45.2,0.0,-1.29,-82.0,14417098.0,0.0,0.0,-0.0,0.0
1741632630.7941403,0.0,0.0,45.1,0.0,-1.2,-82.5,14548170.0,0.0,0.0,-0.0,0.0
1741632630.8442852,0.0,0.0,45.2,0.0,-1.24,-82.3,14417081.0,0.0,0.0,-0.0,0.0
1741632630.8941653,0.0,0.0,44.9,0.0,-1.23,-81.4,14613689.0,0.0,0.0,-0.0,0.0
1741632631.0442743,0.0,0.0,45.0,0.0,-1.14,-81.8,14482617.0,0.0,0.0,-0.0,0.0
1741632631.0940943,0.0,0.0,45.2,0.0,-1.22,-80.4,14482648.0,0.0,0.0,-0.0,0.0
1741632631.1448624,0.0,0.0,45.2,0.0,-1.29,-79.8,14613580.0,0.0,0.0,-0.0,0.0
1741632631.1944263,0.0,0.0,45.0,0.0,-1.24,-79.8,14482617.0,0.0,0.0,-0.0,0.0
1741632631.2444813,0.0,0.0,45.2,0.0,-1.21,-79.0,14613517.0,0.0,0.0,-0.0,0.0
1741632631.2972531,0.0,0.0,45.0,0.0,-1.33,-79.2,14482634.0,0.0,0.0,-0.0,0.0
1741632631.344379,0.0,0.0,45.1,0.0,-1.19,-79.5,14613689.0,0.0,0.0,-0.0,0.0
1741632631.394271,0.0,0.0,45.1,0.0,-1.23,-79.6,14415189.0,0.0,0.0,-0.0,0.0
1741632631.4488218,0.0,0.0,45.0,0.0,-1.22,-79.6,14482634.0,0.0,0.0,-0.0,0.0
1741632631.494116,0.0,0.0,45.2,0.0,-1.35,-80.1,14482617.0,0.0,0.0,-0.0,0.0
1741632631.543939,0.0,0.0,45.0,0.0,-1.35,-81.5,14415189.0,0.0,0.0,-0.0,0.0
1741632631.5938258,0.0,0.0,45.1,0.0,-1.28,-81.8,14482617.0,0.0,0.0,-0.0,0.0
1741632631.6439602,0.0,0.0,45.5,0.0,-1.26,-81.8,14480725.0,0.0,0.0,-0.0,0.0
1741632631.6943173,0.0,0.0,45.1,0.0,-1.27,-81.4,14482617.0,0.0,0.0,-0.0,0.0
1741632631.7440443,0.0,0.0,45.0,0.0,-1.46,-81.3,14548153.0,0.0,0.0,-0.0,0.0
1741632631.7939847,0.0,0.0,45.1,0.0,-1.28,-81.1,14548184.0,0.0,0.0,-0.0,0.0
1741632631.9442675,0.0,0.0,45.2,0.0,-1.26,-81.8,14613706.0,0.0,0.0,-0.0,0.0
1741632631.994252,0.0,0.0,45.1,0.0,-1.27,-81.7,14613706.0,0.0,0.0,-0.0,0.0
1741632632.1448574,0.0,0.0,45.1,0.0,-1.35,-82.0,14611797.0,0.0,0.0,-0.0,0.0
1741632632.19409,0.0,0.0,45.0,0.0,-1.19,-82.1,14482617.0,0.0,0.0,-0.0,0.0
1741632632.24516,0.0,0.0,45.1,0.0,-1.28,-82.5,14548170.0,0.0,0.0,-0.0,0.0
1741632632.294331,0.0,0.0,45.2,0.0,-1.25,-82.2,14417098.0,0.0,0.0,-0.0,0.0
1741632632.346052,0.0,0.0,45.1,0.0,-1.27,-82.4,14613619.0,0.0,0.0,-0.0,0.0
1741632632.5444262,0.0,0.0,45.2,0.0,-1.21,-81.3,14548153.0,0.0,0.0,-0.0,0.0
1741632632.5943415,0.0,0.0,45.1,0.0,-1.24,-81.7,14482575.0,0.0,0.0,-0.0,0.0
1741632632.644413,0.0,0.0,45.1,0.0,-1.27,-81.2,14482617.0,0.0,0.0,-0.0,0.0
1741632632.6944842,0.0,0.0,45.1,0.0,-1.29,-80.7,14482634.0,0.0,0.0,-0.0,0.0
1741632632.7447343,0.0,0.0,45.0,0.0,-1.18,-80.4,14482617.0,0.0,0.0,-0.0,0.0
1741632632.7938304,0.0,0.0,45.1,0.0,-1.2,-80.4,14613689.0,0.0,0.0,-0.0,0.0
1741632632.8448248,0.0,0.0,45.2,0.0,-1.27,-80.0,14613706.0,0.0,0.0,-0.0,0.0
1741632632.945965,0.0,0.0,45.0,0.0,-1.21,-80.7,14482634.0,0.0,0.0,-0.0,0.0
1741632632.994091,0.0,0.0,45.2,0.0,-1.31,-80.9,14417098.0,0.0,0.0,-0.0,0.0
1741632633.0954778,0.0,0.0,45.1,0.0,-1.28,-80.8,14482617.0,0.0,0.0,-0.0,0.0
1741632633.1443212,0.0,0.0,45.0,0.0,-1.25,-80.4,14613706.0,0.0,0.0,-0.0,0.0
1741632633.1940148,0.0,0.0,45.1,0.0,-1.32,-80.2,14548170.0,0.0,0.0,-0.0,0.0
1741632633.2944973,0.0,0.0,45.1,0.0,-1.29,-80.5,14417081.0,0.0,0.0,-0.0,0.0
1741632633.344302,0.0,0.0,45.2,0.0,-1.26,-80.9,14548170.0,0.0,0.0,-0.0,0.0
1741632633.3940618,0.0,0.0,45.2,0.0,-1.22,-81.4,14482617.0,0.0,0.0,-0.0,0.0
1741632633.4442225,0.0,0.0,45.1,0.0,-1.21,-80.8,14482617.0,0.0,0.0,-0.0,0.0
1741632633.4951193,0.0,0.0,45.1,0.0,-1.27,-80.2,14613706.0,0.0,0.0,-0.0,0.0
1741632633.5463445,0.0,0.0,45.1,0.0,-1.29,-80.9,14482673.0,0.0,0.0,-0.0,0.0
1741632633.5940876,0.0,0.0,45.1,0.0,-1.3,-81.0,14482617.0,0.0,0.0,-0.0,0.0
1741632633.6448746,0.0,0.0,45.1,0.0,-1.24,-81.7,14482617.0,0.0,0.0,-0.0,0.0
1741632633.6943445,0.0,0.0,45.1,0.0,-1.3,-81.7,14482617.0,0.0,0.0,-0.0,0.0
1741632633.7453105,0.0,0.0,45.0,0.0,-1.27,-81.6,14613706.0,0.0,0.0,-0.0,0.0
1741632633.8445714,0.0,0.0,45.0,0.0,-1.21,-81.8,14548153.0,0.0,0.0,-0.0,0.0
1741632633.9946656,0.0,0.0,45.1,0.0,-1.26,-82.3,14677333.0,0.0,0.0,-0.0,0.0
1741632634.0442402,0.0,0.0,45.0,0.0,-1.28,-83.4,14613706.0,0.0,0.0,-0.0,0.0
1741632634.0950449,0.0,0.0,45.2,0.0,-1.32,-82.9,14548153.0,0.0,0.0,-0.0,0.0
1741632634.1438832,0.0,0.0,45.1,0.0,-1.23,-82.4,14548170.0,0.0,0.0,-0.0,0.0
1741632634.1939178,0.0,0.0,45.2,0.0,-1.26,-82.0,14482648.0,0.0,0.0,-0.0,0.0
